Schema Name,View Name,Column Name,Datatype,Change Type,New View,New Column,New Datatype,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Storage_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Unknown_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Web_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Windows_Virtual_Desktop_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_AI_+_Machine_Learning_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Analytics_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Arc_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Communication_Services_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Stack_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Blockchain_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Compute_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Containers_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Databases_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Developer_Tools_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Gaming_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Integration_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Internet_of_Things_AzureInfraCR,decimal,Deprecate,,,,,
