Workbook: c:\WorkFAST-main\in\GPSMart_views_FY27_localcopy.xlsx
Sheet count: 4
====================================================================================================
SHEET: Summary (Arch)
Rows: 30  Cols: 14
----------------------------------------------------------------------------------------------------
[R35] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Stack_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R36] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Blockchain_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R37] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Compute_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R38] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Containers_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R39] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Databases_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R40] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Developer_Tools_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R41] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Gaming_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R42] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Integration_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R43] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Internet_of_Things_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R44] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Management_and_Governance_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R45] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Microsoft_Syntex_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R46] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Mixed_Reality_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R47] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Mobile_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R48] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Networking_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R49] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Other_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R50] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Power_Platform_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R51] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Quantum_Computing_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R52] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Security_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R53] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Storage_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R54] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Unknown_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R55] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Web_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
